Round,Agent,Bid,Winning_Bid,Market_Threshold,Rounds_Remaining
7,Aggressive_Agent_2,92.86229508196722,True,170,8
7,Balanced_Agent_1,98.14595800945848,False,170,8
7,Balanced_Agent_2,125.26165333171544,False,170,8
7,Balanced_Agent_3,150.74189917408188,False,170,8
7,Balanced_Agent_4,120.6879645746557,False,170,8
7,Balanced_Agent_5,123.85360120862141,False,170,8
7,Conservative_Agent_1,145.66110020494204,False,170,8
8,Aggressive_Agent_1,169.3132075471698,False,170,7
8,Aggressive_Agent_2,124.46557377049182,False,170,7
8,Balanced_Agent_1,89.37783636266371,True,170,7
8,Balanced_Agent_2,117.95518856465519,False,170,7
8,Balanced_Agent_3,127.30483759397566,False,170,7
8,Balanced_Agent_4,133.18674773556916,False,170,7
8,Balanced_Agent_5,113.40323074785991,False,170,7
8,Conservative_Agent_1,145.2751611927551,False,170,7
9,Aggressive_Agent_1,169.3132075471698,False,170,6
9,Aggressive_Agent_2,89.35081967213115,True,170,6
9,Balanced_Agent_1,155.01706546489828,False,170,6
9,Balanced_Agent_2,139.72577672240462,False,170,6
9,Balanced_Agent_3,150.70946945399407,False,170,6
9,Balanced_Agent_4,127.02164577858844,False,170,6
9,Balanced_Agent_5,128.62303847010932,False,170,6
9,Conservative_Agent_1,144.67828711023637,False,170,6
10,Aggressive_Agent_1,146.41132075471697,False,170,5
10,Aggressive_Agent_2,152.55737704918036,False,170,5
10,Balanced_Agent_1,93.9671311886646,True,170,5
10,Balanced_Agent_2,125.7449568845598,False,170,5
10,Balanced_Agent_3,132.49731053504556,False,170,5
10,Balanced_Agent_4,127.22576633321268,False,170,5
10,Balanced_Agent_5,124.37780514250159,False,170,5
10,Conservative_Agent_1,153.38383067741873,False,170,5
11,Aggressive_Agent_1,169.3132075471698,False,170,4
11,Aggressive_Agent_2,152.55737704918036,False,170,4
11,Balanced_Agent_1,96.15162420051911,True,170,4
11,Balanced_Agent_2,121.18001778947024,False,170,4
11,Balanced_Agent_3,139.64935222044875,False,170,4
11,Balanced_Agent_4,149.07022273158708,False,170,4
11,Balanced_Agent_5,130.71827767885983,False,170,4
11,Conservative_Agent_1,145.67561481463258,False,170,4
12,Aggressive_Agent_1,169.3132075471698,False,170,3
12,Aggressive_Agent_2,68.28196721311475,True,170,3
12,Balanced_Agent_1,155.36211141901342,False,170,3
12,Balanced_Agent_2,126.93058353866334,False,170,3
12,Balanced_Agent_3,140.08774571692695,False,170,3
12,Balanced_Agent_4,128.41864985595305,False,170,3
12,Balanced_Agent_5,129.55717111722575,False,170,3
12,Conservative_Agent_1,145.66185436985762,False,170,3
13,Aggressive_Agent_1,151.79999999999998,False,170,2
13,Aggressive_Agent_2,64.88524590163935,True,170,2
13,Balanced_Agent_1,96.86585019234175,False,170,2
13,Balanced_Agent_2,113.94610310773555,False,170,2
13,Balanced_Agent_3,127.07204455911072,False,170,2
13,Balanced_Agent_4,118.7492763569998,False,170,2
13,Balanced_Agent_5,118.81120205844145,False,170,2
13,Conservative_Agent_1,145.6617100823321,False,170,2
14,Aggressive_Agent_1,169.3132075471698,False,170,1
14,Aggressive_Agent_2,110.41967213114755,True,170,1
14,Balanced_Agent_1,126.1819945019054,False,170,1
14,Balanced_Agent_2,133.1630532435376,False,170,1
14,Balanced_Agent_3,145.6207349560362,False,170,1
14,Balanced_Agent_4,132.27669498813054,False,170,1
14,Balanced_Agent_5,130.8274406421676,False,170,1
14,Conservative_Agent_1,161.1165481419482,False,170,1
15,Aggressive_Agent_1,134.28679245283018,False,170,0
15,Aggressive_Agent_2,152.85483870967744,False,170,0
15,Balanced_Agent_1,99.96994415721294,True,170,0
15,Balanced_Agent_2,112.51420434823198,False,170,0
15,Balanced_Agent_3,128.26235763887578,False,170,0
15,Balanced_Agent_4,138.4137179539964,False,170,0
15,Balanced_Agent_5,116.02073438200267,False,170,0
15,Conservative_Agent_1,151.33799147277193,False,170,0
